,batting_team,bowling_team,city,runs_left,balls_left,wickets,total_runs_x,crr,rrr,result
25,Chennai Super Kings,Kings XI Punjab,Cuttack,170,77,2,231,8.5,13.2,0
26,Mumbai Indians,Kolkata Knight Riders,Kolkata,155,121,0,159,-24.0,7.7,1
27,Mumbai Indians,Royal Challengers Bangalore,Bangalore,49,52,1,140,8.0,5.7,1
28,Mumbai Indians,Delhi Capitals,Delhi,117,49,5,257,11.8,14.3,0
29,Chennai Super Kings,Royal Challengers Bangalore,Mumbai,75,74,1,145,9.1,6.1,1
30,Royal Challengers Bangalore,Mumbai Indians,Bangalore,84,40,6,209,9.4,12.6,0
31,Kolkata Knight Riders,Rajasthan Royals,Jaipur,143,125,0,144,-1.2,6.9,0
32,Mumbai Indians,Lucknow Super Giants,Mumbai,110,69,2,168,6.8,9.6,0
33,Royal Challengers Bangalore,Deccan Chargers,Johannesburg,75,69,3,143,8.0,6.5,0
34,Delhi Daredevils,Mumbai Indians,Mumbai,31,64,2,92,6.5,2.9,1
35,Rajasthan Royals,Chennai Super Kings,Chennai,71,36,2,246,12.5,11.8,0
36,Rajasthan Royals,Chennai Super Kings,Chennai,47,20,4,246,11.9,14.1,0
37,Mumbai Indians,Gujarat Titans,Ahmedabad,76,35,6,233,11.1,13.0,0
38,Mumbai Indians,Kings XI Punjab,Chandigarh,116,78,1,168,7.4,8.9,1
39,Kings XI Punjab,Deccan Chargers,Cuttack,14,8,8,170,8.4,10.5,0
40,Deccan Chargers,Kolkata Knight Riders,Cape Town,1,50,2,101,8.6,0.1,1
41,Mumbai Indians,Delhi Capitals,Mumbai,54,22,7,213,9.7,14.7,0
42,Lucknow Super Giants,Rajasthan Royals,Mumbai,87,51,3,178,7.9,10.2,0
43,Chennai Super Kings,Kolkata Knight Riders,Chennai,71,82,1,137,10.4,5.2,1
44,Mumbai Indians,Chennai Super Kings,Pune,161,119,0,169,48.0,8.1,1
45,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,78,32,6,192,7.8,14.6,0
46,Kings XI Punjab,Kolkata Knight Riders,Indore,194,96,0,245,12.8,12.1,0
47,Gujarat Titans,Delhi Capitals,Delhi,145,77,1,224,11.0,11.3,0
48,Kolkata Knight Riders,Kings XI Punjab,Chandigarh,50,41,3,157,8.1,7.3,0
49,Rajasthan Royals,Kolkata Knight Riders,Sharjah,147,87,4,171,4.4,10.1,0
50,Kolkata Knight Riders,Delhi Daredevils,Delhi,69,54,3,168,9.0,7.7,1
51,Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,29,20,4,175,8.8,8.7,0
52,Rajasthan Royals,Royal Challengers Bangalore,Bengaluru,62,32,4,189,8.7,11.6,0
53,Rajasthan Royals,Sunrisers Hyderabad,Abu Dhabi,129,119,1,133,24.0,6.5,1
54,Rajasthan Royals,Deccan Chargers,Kimberley,104,62,3,166,6.4,10.1,0
55,Sunrisers Hyderabad,Rajasthan Royals,Mumbai,68,62,2,154,8.9,6.6,1
56,Delhi Capitals,Kings XI Punjab,Chandigarh,61,50,3,166,9.0,7.3,0
57,Kolkata Knight Riders,Delhi Daredevils,Kolkata,61,98,0,98,10.1,3.7,1
58,Gujarat Titans,Chennai Super Kings,Mumbai,50,64,1,133,8.9,4.7,1
59,Chennai Super Kings,Delhi Daredevils,Durban,31,27,5,189,10.2,6.9,0
60,Mumbai Indians,Lucknow Super Giants,Mumbai,147,83,0,214,10.9,10.6,0
61,Deccan Chargers,Kings XI Punjab,Hyderabad,132,92,2,170,8.1,8.6,0
62,Mumbai Indians,Rajasthan Royals,Jaipur,131,98,0,162,8.5,8.0,1
63,Rajasthan Royals,Sunrisers Hyderabad,Jaipur,143,123,0,144,-2.0,7.0,1
64,Rajasthan Royals,Delhi Capitals,Abu Dhabi,134,95,3,154,4.8,8.5,0
65,Delhi Daredevils,Chennai Super Kings,Chennai,43,18,9,168,7.4,14.3,0
66,Lucknow Super Giants,Rajasthan Royals,Mumbai,41,21,7,165,7.5,11.7,0
67,Kings XI Punjab,Rajasthan Royals,Jaipur,46,17,6,158,6.5,16.2,0
68,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,102,100,2,135,9.9,6.1,1
69,Kolkata Knight Riders,Kings XI Punjab,Kolkata,122,104,2,149,10.1,7.0,1
70,Sunrisers Hyderabad,Chennai Super Kings,Mumbai,131,92,2,167,7.7,8.5,0
71,Kolkata Knight Riders,Rajasthan Royals,Jaipur,153,99,1,196,12.3,9.3,0
72,Mumbai Indians,Delhi Capitals,Delhi,23,21,4,172,9.0,6.6,1
73,Royal Challengers Bangalore,Sunrisers Hyderabad,Abu Dhabi,128,114,1,141,13.0,6.7,0
74,Chennai Super Kings,Rajasthan Royals,Chennai,207,123,0,211,-8.0,10.1,0
75,Mumbai Indians,Kolkata Knight Riders,Kolkata,118,85,1,175,9.8,8.3,1
76,Sunrisers Hyderabad,Delhi Daredevils,Hyderabad,77,59,2,163,8.5,7.8,1
77,Mumbai Indians,Kolkata Knight Riders,Kolkata,128,109,0,157,15.8,7.0,0
78,Royal Challengers Bangalore,Chennai Super Kings,Mumbai,82,38,6,216,9.8,12.9,0
79,Kolkata Knight Riders,Chennai Super Kings,Chennai,120,105,0,153,13.2,6.9,0
80,Delhi Daredevils,Mumbai Indians,Mumbai,85,47,6,183,8.1,10.9,0
81,Delhi Daredevils,Deccan Chargers,Hyderabad,137,83,3,175,6.2,9.9,1
82,Kings XI Punjab,Deccan Chargers,Dharamsala,95,26,8,198,6.6,21.9,0
83,Mumbai Indians,Rajasthan Royals,Mumbai,95,62,2,193,10.1,9.2,0
84,Kings XI Punjab,Delhi Daredevils,Chandigarh,81,69,3,158,9.1,7.0,1
85,Delhi Capitals,Mumbai Indians,Mumbai,146,102,2,177,10.3,8.6,1
86,Mumbai Indians,Sunrisers Hyderabad,Mumbai,142,109,1,173,16.9,7.8,1
87,Kolkata Knight Riders,Kings XI Punjab,Bangalore,70,46,2,199,10.5,9.1,1
88,Delhi Daredevils,Rajasthan Royals,Ahmedabad,182,114,0,201,19.0,9.6,0
89,Sunrisers Hyderabad,Delhi Daredevils,Delhi,50,50,3,114,5.5,6.0,1
90,Royal Challengers Bangalore,Mumbai Indians,Pune,20,24,2,151,8.2,5.0,1
91,Mumbai Indians,Chennai Super Kings,Chennai,12,35,3,112,7.1,2.1,1
92,Kings XI Punjab,Kolkata Knight Riders,Indore,152,72,4,245,11.6,12.7,0
93,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,60,42,5,136,5.8,8.6,0
94,Royal Challengers Bangalore,Rajasthan Royals,Jaipur,96,97,0,146,13.0,5.9,1
95,Rajasthan Royals,Chennai Super Kings,Jaipur,158,97,1,196,9.9,9.8,0
96,Lucknow Super Giants,Chennai Super Kings,Mumbai,94,52,2,210,10.2,10.8,1
97,Delhi Capitals,Royal Challengers Bangalore,Delhi,84,74,1,181,12.7,6.8,1
98,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,106,63,2,207,10.6,10.1,0
99,Rajasthan Royals,Royal Challengers Bangalore,Cape Town,126,107,2,133,3.2,7.1,0
100,Kolkata Knight Riders,Royal Challengers Bangalore,Bangalore,106,105,0,158,20.8,6.1,1
101,Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,22,8,9,150,6.9,16.5,0
102,Lucknow Super Giants,Chennai Super Kings,Lucknow,113,83,0,176,10.2,8.2,1
103,Rajasthan Royals,Deccan Chargers,Port Elizabeth,136,109,3,141,2.7,7.5,1
104,Delhi Daredevils,Rajasthan Royals,Delhi,38,34,2,165,8.9,6.7,0
105,Kolkata Knight Riders,Rajasthan Royals,Jaipur,48,73,1,139,11.6,3.9,1
106,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,39,42,4,205,12.8,5.6,1
107,Rajasthan Royals,Mumbai Indians,Jaipur,79,104,0,94,5.6,4.6,1
108,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,98,76,4,139,5.6,7.7,1
109,Deccan Chargers,Kings XI Punjab,Dharamsala,131,92,1,174,9.2,8.5,1
110,Rajasthan Royals,Mumbai Indians,Mumbai,52,33,6,166,7.9,9.5,0
111,Delhi Capitals,Mumbai Indians,Sharjah,98,99,3,129,8.9,5.9,1
112,Kings XI Punjab,Deccan Chargers,Kimberley,127,99,1,168,11.7,7.7,1
113,Kolkata Knight Riders,Chennai Super Kings,Mumbai,62,73,1,131,8.8,5.1,1
114,Kings XI Punjab,Royal Challengers Bangalore,Bangalore,95,46,9,211,9.4,12.4,0
115,Chennai Super Kings,Royal Challengers Bangalore,Pune,65,75,1,127,8.3,5.2,1
116,Royal Challengers Bangalore,Chennai Super Kings,Chennai,32,23,7,148,7.2,8.3,0
117,Mumbai Indians,Rajasthan Royals,Mumbai,170,116,0,189,28.5,8.8,1
118,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,121,74,2,192,9.3,9.8,0
119,Kings XI Punjab,Chennai Super Kings,Durban,37,17,7,116,4.6,13.1,0
120,Deccan Chargers,Chennai Super Kings,Chennai,16,22,3,144,7.8,4.4,1
121,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,83,77,1,166,11.6,6.5,1
122,Deccan Chargers,Royal Challengers Bangalore,Centurion,79,60,2,170,9.1,7.9,0
123,Kolkata Knight Riders,Mumbai Indians,Port Elizabeth,138,87,2,187,8.9,9.5,0
124,Chennai Super Kings,Royal Challengers Bangalore,Bengaluru,175,105,1,205,12.0,10.0,1
125,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,165,108,1,181,8.0,9.2,1
126,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,15,16,5,146,7.6,5.6,0
127,Rajasthan Royals,Mumbai Indians,Mumbai,51,29,5,197,9.6,10.6,0
128,Rajasthan Royals,Sunrisers Hyderabad,Ahmedabad,123,114,1,134,11.0,6.5,0
129,Mumbai Indians,Lucknow Super Giants,Mumbai,78,40,4,199,9.1,11.7,0
130,Royal Challengers Bangalore,Chennai Super Kings,Chennai,103,87,3,148,8.2,7.1,0
131,Mumbai Indians,Delhi Capitals,Abu Dhabi,10,20,5,162,9.1,3.0,1
132,Kolkata Knight Riders,Kings XI Punjab,Chandigarh,52,39,3,167,8.5,8.0,0
133,Sunrisers Hyderabad,Rajasthan Royals,Mumbai,154,124,0,154,-0.0,7.5,1
134,Sunrisers Hyderabad,Lucknow Super Giants,Hyderabad,164,124,0,165,-1.5,7.9,1
135,Lucknow Super Giants,Kolkata Knight Riders,Lucknow,106,38,8,235,9.4,16.7,0
136,Royal Challengers Bangalore,Mumbai Indians,Mumbai,48,48,1,141,7.8,6.0,1
137,Gujarat Titans,Chennai Super Kings,Ahmedabad,92,74,1,178,11.2,7.5,1
138,Kings XI Punjab,Rajasthan Royals,Ahmedabad,118,65,3,191,8.0,10.9,1
139,Kings XI Punjab,Kolkata Knight Riders,Kolkata,141,97,3,164,6.0,8.7,0
140,Mumbai Indians,Delhi Capitals,Delhi,141,65,3,257,12.7,13.0,0
141,Deccan Chargers,Royal Challengers Bangalore,Centurion,72,53,2,170,8.8,8.2,0
142,Rajasthan Royals,Deccan Chargers,Jaipur,166,105,0,196,12.0,9.5,1
143,Mumbai Indians,Lucknow Super Giants,Mumbai,81,31,5,214,9.0,15.7,0
144,Rajasthan Royals,Kolkata Knight Riders,Sharjah,159,108,2,171,6.0,8.8,0
145,Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,130,90,1,181,10.2,8.7,1
146,Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,169,103,1,205,12.7,9.8,1
147,Delhi Daredevils,Deccan Chargers,Delhi,142,110,0,168,15.6,7.7,0
148,Chennai Super Kings,Royal Challengers Bangalore,Chennai,63,63,1,126,6.6,6.0,0
149,Kings XI Punjab,Chennai Super Kings,Chandigarh,113,54,2,240,11.5,12.6,0
150,Kolkata Knight Riders,Chennai Super Kings,Chennai,138,92,1,200,13.3,9.0,0
151,Mumbai Indians,Kings XI Punjab,Mumbai,134,68,3,197,7.3,11.8,1
152,Chennai Super Kings,Royal Challengers Bangalore,Chennai,134,72,1,205,8.9,11.2,1
153,Chennai Super Kings,Delhi Daredevils,Chennai,7,41,1,114,8.1,1.0,1
154,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,153,65,3,213,6.5,14.1,0
155,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,146,85,2,207,10.5,10.3,0
156,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,84,90,1,128,8.8,5.6,1
157,Royal Challengers Bangalore,Kings XI Punjab,Bengaluru,20,23,4,155,8.4,5.2,1
158,Chennai Super Kings,Royal Challengers Bangalore,Mumbai,94,86,1,145,9.0,6.6,1
159,Delhi Daredevils,Deccan Chargers,Delhi,13,8,7,145,7.1,9.8,0
160,Rajasthan Royals,Mumbai Indians,Jaipur,85,35,7,174,6.3,14.6,0
161,Chennai Super Kings,Kings XI Punjab,Mumbai,30,7,7,226,10.4,25.7,0
162,Delhi Capitals,Chennai Super Kings,Chennai,161,111,1,179,12.0,8.7,0
163,Sunrisers Hyderabad,Gujarat Titans,Mumbai,82,56,1,162,7.5,8.8,1
164,Royal Challengers Bangalore,Kings XI Punjab,Bengaluru,122,99,1,155,9.4,7.4,1
165,Kolkata Knight Riders,Sunrisers Hyderabad,Hyderabad,184,102,2,209,8.3,10.8,0
166,Chennai Super Kings,Rajasthan Royals,Kimberley,105,93,1,140,7.8,6.8,1
167,Sunrisers Hyderabad,Mumbai Indians,Mumbai,166,96,1,208,10.5,10.4,0
168,Sunrisers Hyderabad,Mumbai Indians,Mumbai,105,90,1,157,10.4,7.0,0
169,Kings XI Punjab,Royal Challengers Bangalore,Bangalore,182,79,6,226,6.4,13.8,0
170,Kolkata Knight Riders,Kings XI Punjab,Chandigarh,66,43,3,167,7.9,9.2,0
171,Sunrisers Hyderabad,Royal Challengers Bangalore,Chennai,15,13,7,149,7.5,6.9,0
172,Kolkata Knight Riders,Chennai Super Kings,Chennai,70,55,1,190,11.1,7.6,1
173,Royal Challengers Bangalore,Mumbai Indians,Mumbai,92,73,1,141,6.3,7.6,1
174,Delhi Capitals,Rajasthan Royals,Navi Mumbai,79,63,1,160,8.5,7.5,1
175,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,27,28,2,158,8.5,5.8,1
176,Royal Challengers Bangalore,Deccan Chargers,Bangalore,155,107,0,181,12.0,8.7,1
177,Rajasthan Royals,Chennai Super Kings,Mumbai,93,39,7,188,7.0,14.3,0
178,Kings XI Punjab,Royal Challengers Bangalore,Chandigarh,128,111,0,143,10.0,6.9,1
179,Kolkata Knight Riders,Rajasthan Royals,Jaipur,82,54,6,144,5.6,9.1,0
180,Royal Challengers Bangalore,Mumbai Indians,Port Elizabeth,82,53,5,157,6.7,9.3,0
181,Rajasthan Royals,Royal Challengers Bangalore,Pune,88,35,7,180,6.5,15.1,0
182,Mumbai Indians,Royal Challengers Bangalore,Mumbai,147,114,1,162,15.0,7.7,1
183,Rajasthan Royals,Mumbai Indians,Mumbai,82,98,2,125,11.7,5.0,1
184,Kolkata Knight Riders,Chennai Super Kings,Chennai,55,52,1,139,7.4,6.3,1
185,Rajasthan Royals,Gujarat Titans,Mumbai,134,93,2,192,12.9,8.6,0
186,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,130,118,1,138,24.0,6.6,1
187,Rajasthan Royals,Kolkata Knight Riders,Sharjah,155,97,4,171,4.2,9.6,0
188,Delhi Capitals,Rajasthan Royals,Navi Mumbai,160,124,1,160,-0.0,7.7,1
189,Royal Challengers Bangalore,Delhi Daredevils,Bengaluru,131,91,2,174,8.9,8.6,1
190,Kolkata Knight Riders,Delhi Daredevils,Delhi,56,22,6,177,7.4,15.3,0
191,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,10,11,9,159,8.2,5.5,0
192,Mumbai Indians,Royal Challengers Bangalore,Bangalore,119,69,5,171,6.1,10.3,1
193,Rajasthan Royals,Mumbai Indians,Ahmedabad,113,81,1,164,7.8,8.4,1
194,Mumbai Indians,Kolkata Knight Riders,Mumbai,45,28,4,140,6.2,9.6,0
195,Mumbai Indians,Kolkata Knight Riders,Mumbai,46,61,1,133,8.8,4.5,1
196,Kolkata Knight Riders,Kings XI Punjab,Kolkata,44,43,3,149,8.2,6.1,1
197,Royal Challengers Bangalore,Chennai Super Kings,Bangalore,96,56,4,181,8.0,10.3,0
198,Rajasthan Royals,Kolkata Knight Riders,Mumbai,96,52,6,191,8.4,11.1,0
199,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,168,109,1,200,17.5,9.2,0
200,Chennai Super Kings,Mumbai Indians,Abu Dhabi,154,109,2,162,4.4,8.5,1
201,Mumbai Indians,Delhi Daredevils,Delhi,107,75,2,174,8.9,8.6,0
202,Deccan Chargers,Mumbai Indians,Hyderabad,78,43,5,172,7.3,10.9,0
203,Mumbai Indians,Deccan Chargers,Visakhapatnam,18,13,5,138,6.7,8.3,1
204,Delhi Daredevils,Kolkata Knight Riders,Kolkata,36,77,2,97,8.5,2.8,1
205,Mumbai Indians,Royal Challengers Bangalore,Dubai,155,114,0,165,10.0,8.2,0
206,Mumbai Indians,Royal Challengers Bangalore,Bangalore,69,44,5,142,5.8,9.4,1
207,Delhi Daredevils,Chennai Super Kings,Chennai,54,27,4,176,7.9,12.0,0
208,Kolkata Knight Riders,Kings XI Punjab,Kolkata,84,99,2,119,10.0,5.1,1
209,Kolkata Knight Riders,Royal Challengers Bangalore,Mumbai,166,99,1,194,8.0,10.1,0
210,Royal Challengers Bangalore,Sunrisers Hyderabad,Bangalore,48,32,4,208,10.9,9.0,0
211,Mumbai Indians,Chennai Super Kings,Chennai,104,73,1,165,7.8,8.5,0
212,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,50,46,2,142,7.5,6.5,1
213,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,91,84,2,129,6.3,6.5,0
214,Lucknow Super Giants,Chennai Super Kings,Chennai,53,30,3,210,10.5,10.6,1
215,Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,66,32,4,205,9.5,12.4,1
216,Kings XI Punjab,Mumbai Indians,Mumbai,57,36,7,174,8.4,9.5,0
217,Chennai Super Kings,Sunrisers Hyderabad,Sharjah,120,107,0,134,6.5,6.7,1
218,Sunrisers Hyderabad,Mumbai Indians,Mumbai,186,111,0,208,14.7,10.1,0
219,Kings XI Punjab,Delhi Daredevils,Delhi,70,86,1,111,7.2,4.9,1
220,Rajasthan Royals,Mumbai Indians,Mumbai,98,98,0,133,9.5,6.0,1
221,Chennai Super Kings,Mumbai Indians,Mumbai,2,17,3,173,10.0,0.7,1
222,Mumbai Indians,Deccan Chargers,Visakhapatnam,94,72,2,138,5.5,7.8,1
223,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow,7,42,3,121,8.8,1.0,1
224,Sunrisers Hyderabad,Mumbai Indians,Chennai,13,9,9,150,7.4,8.7,0
225,Delhi Daredevils,Royal Challengers Bangalore,Bangalore,141,91,2,186,9.3,9.3,0
226,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,88,50,4,192,8.9,10.6,0
227,Kings XI Punjab,Chennai Super Kings,Chennai,26,12,6,181,8.6,13.0,0
228,Mumbai Indians,Chennai Super Kings,Chennai,134,100,0,165,9.3,8.0,0
229,Royal Challengers Bangalore,Mumbai Indians,Mumbai,65,33,7,184,8.2,11.8,0
230,Kings XI Punjab,Royal Challengers Bangalore,Bangalore,142,97,1,174,8.3,8.8,1
231,Sunrisers Hyderabad,Royal Challengers Bangalore,Chennai,117,100,1,149,9.6,7.0,0
232,Kings XI Punjab,Chennai Super Kings,Centurion,30,32,3,185,10.6,5.6,0
233,Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,101,71,1,175,9.1,8.5,1
234,Chennai Super Kings,Mumbai Indians,Cape Town,165,124,1,165,-0.0,8.0,0
235,Rajasthan Royals,Lucknow Super Giants,Jaipur,104,84,0,154,8.3,7.4,0
236,Lucknow Super Giants,Royal Challengers Bangalore,Mumbai,41,22,6,181,8.6,11.2,0
237,Mumbai Indians,Royal Challengers Bangalore,Bengaluru,82,52,5,167,7.5,9.5,0
238,Deccan Chargers,Kolkata Knight Riders,Mumbai,92,83,1,161,11.2,6.7,0
239,Delhi Daredevils,Deccan Chargers,Hyderabad,25,32,4,175,10.2,4.7,1
240,Kings XI Punjab,Deccan Chargers,Chandigarh,102,92,0,175,15.6,6.7,1
241,Sunrisers Hyderabad,Royal Challengers Bangalore,Chennai,34,29,3,149,7.6,7.0,0
242,Lucknow Super Giants,Mumbai Indians,Lucknow,91,88,1,144,9.9,6.2,1
243,Royal Challengers Bangalore,Kings XI Punjab,Bengaluru,87,71,2,155,8.3,7.4,1
244,Kolkata Knight Riders,Mumbai Indians,Chennai,30,36,4,152,8.7,5.0,0
245,Royal Challengers Bangalore,Sunrisers Hyderabad,Hyderabad,56,33,4,194,9.5,10.2,0
246,Mumbai Indians,Kolkata Knight Riders,Mumbai,104,67,3,178,8.4,9.3,1
247,Kolkata Knight Riders,Delhi Daredevils,Delhi,79,76,1,153,10.1,6.2,1
248,Rajasthan Royals,Mumbai Indians,Jaipur,94,87,1,161,12.2,6.5,1
249,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,114,106,1,138,10.3,6.5,1
250,Mumbai Indians,Kolkata Knight Riders,Mumbai,65,45,3,140,6.0,8.7,0
251,Delhi Capitals,Royal Challengers Bangalore,Bengaluru,123,110,1,149,15.6,6.7,1
252,Sunrisers Hyderabad,Rajasthan Royals,Delhi,92,38,5,220,9.4,14.5,0
253,Chennai Super Kings,Kings XI Punjab,Mumbai,61,57,0,178,11.1,6.4,1
254,Kolkata Knight Riders,Lucknow Super Giants,Navi Mumbai,30,16,6,210,10.4,11.2,0
255,Rajasthan Royals,Kolkata Knight Riders,Kolkata,72,53,1,169,8.7,8.2,0
256,Kolkata Knight Riders,Rajasthan Royals,Kolkata,55,69,2,132,9.1,4.8,1
257,Delhi Daredevils,Chennai Super Kings,Chennai,130,109,1,150,10.9,7.2,0
258,Rajasthan Royals,Delhi Daredevils,Delhi,11,13,1,152,7.9,5.1,0
259,Mumbai Indians,Chennai Super Kings,Mumbai,100,57,2,168,6.5,10.5,0
260,Mumbai Indians,Rajasthan Royals,Mumbai,89,50,3,212,10.5,10.7,1
261,Delhi Daredevils,Sunrisers Hyderabad,Hyderabad,52,49,3,146,7.9,6.4,1
262,Sunrisers Hyderabad,Royal Challengers Bangalore,Mumbai,60,44,2,163,8.1,8.2,0
263,Rajasthan Royals,Delhi Daredevils,Bloemfontein,85,64,3,150,7.0,8.0,0
264,Rajasthan Royals,Sunrisers Hyderabad,Delhi,10,13,6,132,6.8,4.6,1
265,Delhi Daredevils,Rajasthan Royals,Mumbai,153,80,4,192,5.8,11.5,0
266,Mumbai Indians,Lucknow Super Giants,Mumbai,36,8,7,168,7.1,27.0,0
267,Kings XI Punjab,Delhi Daredevils,Delhi,48,68,4,120,8.3,4.2,1
268,Kolkata Knight Riders,Delhi Daredevils,Delhi,127,78,3,186,8.4,9.8,0
269,Mumbai Indians,Kolkata Knight Riders,Mumbai,64,72,2,147,10.4,5.3,1
270,Sunrisers Hyderabad,Kolkata Knight Riders,Chennai,84,47,3,187,8.5,10.7,0
271,Delhi Daredevils,Kolkata Knight Riders,Kolkata,77,49,2,171,7.9,9.4,0
272,Deccan Chargers,Kings XI Punjab,Johannesburg,71,68,2,134,7.3,6.3,0
273,Kolkata Knight Riders,Royal Challengers Bangalore,Bengaluru,32,18,5,205,10.2,10.7,1
274,Delhi Daredevils,Deccan Chargers,Hyderabad,179,123,1,187,-16.0,8.7,1
275,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,22,24,4,130,6.8,5.5,1
276,Royal Challengers Bangalore,Chennai Super Kings,Mumbai,166,84,4,216,8.3,11.9,0
277,Royal Challengers Bangalore,Chennai Super Kings,Bengaluru,145,83,2,226,13.1,10.5,0
278,Delhi Daredevils,Royal Challengers Bangalore,Delhi,88,61,3,183,9.7,8.7,0
279,Chennai Super Kings,Kolkata Knight Riders,Kolkata,93,93,1,119,5.8,6.0,1
280,Mumbai Indians,Royal Challengers Bangalore,Mumbai,143,113,1,162,16.3,7.6,1
281,Royal Challengers Bangalore,Kolkata Knight Riders,Centurion,29,19,4,173,8.6,9.2,1
282,Chennai Super Kings,Kolkata Knight Riders,Mumbai,172,125,0,172,-0.0,8.3,1
283,Delhi Daredevils,Mumbai Indians,Centurion,122,99,1,165,12.3,7.4,1
284,Kolkata Knight Riders,Mumbai Indians,Mumbai,106,74,2,171,8.5,8.6,0
285,Royal Challengers Bangalore,Kings XI Punjab,Bangalore,103,60,1,203,10.0,10.3,1
286,Kings XI Punjab,Kolkata Knight Riders,Kolkata,72,60,1,191,11.9,7.2,1
287,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata,155,90,3,190,7.0,10.3,0
288,Royal Challengers Bangalore,Mumbai Indians,Bangalore,137,60,3,209,7.2,13.7,0
289,Rajasthan Royals,Mumbai Indians,Mumbai,36,22,6,166,8.0,9.8,0
290,Mumbai Indians,Kolkata Knight Riders,Kolkata,146,105,1,175,11.6,8.3,1
291,Kings XI Punjab,Sunrisers Hyderabad,Chandigarh,93,61,4,150,5.8,9.1,0
